image_path,mask_path,label,class_name,rel,mask_area
data/ground_truth_seperate/images/sta_0024.png/Sta_0024__inst000.jpg,data/ground_truth_seperate/masks/sta_0024.png/Sta_0024__inst000.png,2,sta,sta_0024.png/Sta_0024__inst000.png,451
data/ground_truth_seperate/images/scr_0090.png/Scr_0090__inst000.jpg,data/ground_truth_seperate/masks/scr_0090.png/Scr_0090__inst000.png,1,scr,scr_0090.png/Scr_0090__inst000.png,3028
data/ground_truth_seperate/images/sta_0217.png/Sta_0217__inst001.jpg,data/ground_truth_seperate/masks/sta_0217.png/Sta_0217__inst001.png,2,sta,sta_0217.png/Sta_0217__inst001.png,383
data/ground_truth_seperate/images/oil_0042.png/Oil_0042__inst000.jpg,data/ground_truth_seperate/masks/oil_0042.png/Oil_0042__inst000.png,0,oil,oil_0042.png/Oil_0042__inst000.png,60684
data/ground_truth_seperate/images/sta_0326.png/Sta_0326__inst005.jpg,data/ground_truth_seperate/masks/sta_0326.png/Sta_0326__inst005.png,2,sta,sta_0326.png/Sta_0326__inst005.png,384
data/ground_truth_seperate/images/scr_0227.png/Scr_0227__inst000.jpg,data/ground_truth_seperate/masks/scr_0227.png/Scr_0227__inst000.png,1,scr,scr_0227.png/Scr_0227__inst000.png,1346
data/ground_truth_seperate/images/scr_0299.png/Scr_0299__inst001.jpg,data/ground_truth_seperate/masks/scr_0299.png/Scr_0299__inst001.png,1,scr,scr_0299.png/Scr_0299__inst001.png,3393
data/ground_truth_seperate/images/sta_0147.png/Sta_0147__inst000.jpg,data/ground_truth_seperate/masks/sta_0147.png/Sta_0147__inst000.png,2,sta,sta_0147.png/Sta_0147__inst000.png,464
data/ground_truth_seperate/images/scr_0063.png/Scr_0063__inst003.jpg,data/ground_truth_seperate/masks/scr_0063.png/Scr_0063__inst003.png,1,scr,scr_0063.png/Scr_0063__inst003.png,2262
data/ground_truth_seperate/images/scr_0278.png/Scr_0278__inst000.jpg,data/ground_truth_seperate/masks/scr_0278.png/Scr_0278__inst000.png,1,scr,scr_0278.png/Scr_0278__inst000.png,2538
